salted,reading,word
_無_住_宅_者,무주택자,無住宅者
_無_作_爲_的,무작위적,無作爲的
_無_依_無_托,무의무탁,無依無托
_無_個_性_的,무개성적,無個性的
_無_制_限_的,무제한적,無制限的
_無_制_限_級,무제한급,無制限級
_無_反_動_銃,무반동총,無反動銃
_無_告_之_民,무고지민,無告之民
_無_味_乾_燥,무미건조,無味乾燥
_無_呼_吸_症,무호흡증,無呼吸症
_無_妹_獨_子,무매독자,無妹獨子
_無_定_型_性,무정형성,無定型性
_無_差_別_的,무차별적,無差別的
_無_得_無_失,무득무실,無得無失
_無_念_無_想,무념무상,無念無想
_無_性_格_的,무성격적,無性格的
_無_意_味_化,무의미화,無意味化
_無_意_味_性,무의미성,無意味性
_無_意_志_性,무의지성,無意志性
_無_意_識_中,무의식중,無意識中
_無_意_識_的,무의식적,無意識的
_無_我_之_境,무아지경,無我之境
_無_所_不_爲,무소불위,無所不爲
_無_所_不_能,무소불능,無所不能
_無_批_判_的,무비판적,無批判的
_無_排_卵_性,무배란성,無排卵性
_無_文_化_村,무문화촌,無文化村
_無_料_入_場,무료입장,無料入場
_無_斷_家_出,무단가출,無斷家出
_無_斷_缺_勤,무단결근,無斷缺勤
_無_望_之_禍,무망지화,無望之禍
_無_望_之_福,무망지복,無望之福
_無_期_停_學,무기정학,無期停學
_無_根_而_固,무근이고,無根而固
_無_條_件_的,무조건적,無條件的
_無_氣_力_化,무기력화,無氣力化
_無_氣_力_症,무기력증,無氣力症
_無_法_天_地,무법천지,無法天地
_無_爲_之_治,무위지치,無爲之治
_無_爲_徒_食,무위도식,無爲徒食
_無_爲_而_化,무위이화,無爲而化
_無_爲_自_然,무위자연,無爲自然
_無_理_論_的,무이론적,無理論的
_無_用_之_物,무용지물,無用之物
_無_用_之_用,무용지용,無用之用
_無_男_獨_女,무남독녀,無男獨女
_無_病_自_灸,무병자구,無病自灸
_無_知_無_知,무지무지,無知無知
_無_知_莫_知,무지막지,無知莫知
_無_知_蒙_昧,무지몽매,無知蒙昧
_無_神_論_者,무신론자,無神論者
_無_窮_無_盡,무궁무진,無窮無盡
_無_窮_無_窮,무궁무궁,無窮無窮
_無_能_力_者,무능력자,無能力者
_無_腸_公_子,무장공자,無腸公子
_無_色_無_臭,무색무취,無色無臭
_無_處_可_考,무처가고,無處可考
_無_規_定_的,무규정적,無規定的
_無_計_劃_性,무계획성,無計劃性
_無_賃_乘_車,무임승차,無賃乘車
_無_道_之_人,무도지인,無道之人
_無_量_無_邊,무량무변,無量無邊
_無_障_無_碍,무장무애,無障無碍
_無_面_渡_江,무면도강,無面渡江
_無_風_地_帶,무풍지대,無風地帶
_無_風_起_瀾,무풍기란,無風起瀾
_無_骨_好_人,무골호인,無骨好人
_煙_塵_千_里,연진천리,煙塵千里
_煙_霞_痼_疾,연하고질,煙霞痼疾
_照_松_之_勤,조송지근,照松之勤
_煮_豆_燃_萁,자두연기,煮豆燃萁
_煽_情_主_義,선정주의,煽情主義
_熊_虎_之_士,웅호지사,熊虎之士
_熟_不_還_生,숙불환생,熟不還生
_熟_柿_主_義,숙시주의,熟柿主義
_熟_讀_玩_味,숙독완미,熟讀玩味
_熱_傳_導_性,열전도성,熱傳導性
_熱_血_男_兒,열혈남아,熱血男兒
_燃_眉_之_急,연미지급,燃眉之急
_燈_下_不_明,등하불명,燈下不明
_燈_火_之_喜,등화지희,燈火之喜
_燈_火_可_親,등화가친,燈火可親
_燒_眉_之_急,소미지급,燒眉之急
_營_業_局_長,영업국장,營業局長
_營_業_所_長,영업소장,營業所長
_營_業_時_間,영업시간,營業時間
_營_養_失_調,영양실조,營養失調
_營_養_學_者,영양학자,營養學者
_營_養_課_長,영양과장,營養課長
_燮_理_陰_陽,섭리음양,燮理陰陽
_爆_彈_宣_言,폭탄선언,爆彈宣言
_爛_商_討_議,난상토의,爛商討議
_爲_人_設_官,위인설관,爲人設官
_爲_國_忠_節,위국충절,爲國忠節
_爲_己_之_學,위기지학,爲己之學
_爲_法_自_弊,위법자폐,爲法自弊
_爲_虎_傅_翼,위호부익,爲虎傅翼
_爲_親_之_道,위친지도,爲親之道
_父_傳_子_傳,부전자전,父傳子傳
_父_子_之_間,부자지간,父子之間
_父_子_有_親,부자유친,父子有親
_父_性_愛_的,부성애적,父性愛的
_父_母_俱_存,부모구존,父母俱存
_父_爲_子_綱,부위자강,父爲子綱
_父_父_子_子,부부자자,父父子子
_牛_刀_割_鷄,우도할계,牛刀割鷄
_牛_溲_馬_勃,우수마발,牛溲馬勃
_牛_耳_讀_經,우이독경,牛耳讀經
_牛_踏_不_破,우답불파,牛踏不破
_牝_鷄_晨_鳴,빈계신명,牝鷄晨鳴
_物_商_客_主,물상객주,物商客主
_物_壯_則_老,물장즉노,物壯則老
_物_心_兩_面,물심양면,物心兩面
_物_心_如_一,물심여일,物心如一
_物_我_一_體,물아일체,物我一體
_物_極_則_反,물극즉반,物極則反
_物_流_費_用,물류비용,物流費用
_物_理_學_會,물리학회,物理學會
_物_理_學_界,물리학계,物理學界
_物_理_學_的,물리학적,物理學的
_物_理_學_科,물리학과,物理學科
_物_理_學_者,물리학자,物理學者
_物_神_主_義,물신주의,物神主義
_物_薄_情_厚,물박정후,物薄情厚
_物_質_世_界,물질세계,物質世界
_物_質_主_義,물질주의,物質主義
_物_質_文_化,물질문화,物質文化
_物_質_文_明,물질문명,物質文明
_物_質_生_活,물질생활,物質生活
_特_別_市_民,특별시민,特別市民
_特_別_法_的,특별법적,特別法的
_特_務_隊_長,특무대장,特務隊長
_特_攻_隊_式,특공대식,特攻隊式
_特_派_員_團,특파원단,特派員團
_特_許_權_者,특허권자,特許權者
_牽_强_附_會,견강부회,牽强附會
_牽_牛_織_女,견우직녀,牽牛織女
_犧_牲_精_神,희생정신,犧牲精神
_犬_兎_之_爭,견토지쟁,犬兎之爭
_犬_牙_相_制,견아상제,犬牙相制
_犬_猿_之_間,견원지간,犬猿之間
_犬_馬_之_勞,견마지로,犬馬之勞
_犬_馬_之_齒,견마지치,犬馬之齒
_狎_而_敬_之,압이경지,狎而敬之
_狐_假_虎_威,호가호위,狐假虎威
_狗_尾_續_貂,구미속초,狗尾續貂
_猛_活_躍_狀,맹활약상,猛活躍狀
_猫_頭_縣_鈴,묘두현령,猫頭縣鈴
_猶_太_敎_徒,유태교도,猶太敎徒
_猶_豫_論_者,유예론자,猶豫論者
_猿_猴_取_月,원후취월,猿猴取月
_獨_不_將_軍,독불장군,獨不將軍
_獨_也_靑_靑,독야청청,獨也靑靑
_獨_善_其_身,독선기신,獨善其身
_獨_守_空_房,독수공방,獨守空房
_獨_文_學_科,독문학과,獨文學科
_獨_見_之_明,독견지명,獨見之明
_獨_身_主_義,독신주의,獨身主義
_獸_聚_鳥_散,수취조산,獸聚鳥散
_率_先_垂_範,솔선수범,率先垂範
_率_口_而_發,솔구이발,率口而發
_率_土_之_濱,솔토지빈,率土之濱
_率_獸_食_人,솔수식인,率獸食人
_率_馬_以_驥,솔마이기,率馬以驥
_玉_昆_金_友,옥곤금우,玉昆金友
_玉_皇_上_帝,옥황상제,玉皇上帝
_玉_石_俱_焚,옥석구분,玉石俱焚
_玉_石_混_淆,옥석혼효,玉石混淆
_玉_骨_仙_風,옥골선풍,玉骨仙風
_王_世_子_妃,왕세자비,王世子妃
_王_中_王_戰,왕중왕전,王中王戰
_王_侯_將_相,왕후장상,王侯將相
_王_政_復_古,왕정복고,王政復古
_王_朝_史_的,왕조사적,王朝史的
_王_道_政_治,왕도정치,王道政治
_珍_羞_盛_饌,진수성찬,珍羞盛饌
_現_世_主_義,현세주의,現世主義
_現_代_主_義,현대주의,現代主義
_現_地_踏_査,현지답사,現地踏査
_現_實_主_義,현실주의,現實主義
_現_實_化_度,현실화도,現實化度
_現_象_學_的,현상학적,現象學的
_理_事_長_職,이사장직,理事長職
_理_想_主_義,이상주의,理想主義
_理_院_鵲_巢,이원작소,理院鵲巢
_琴_瑟_之_樂,금슬지락,琴瑟之樂
_環_境_條_件,환경조건,環境條件
_環_境_汚_染,환경오염,環境汚染
_瓦_解_土_崩,와해토붕,瓦解土崩
_瓦_釜_雷_鳴,와부뇌명,瓦釜雷鳴
_甑_已_破_矣,증이파의,甑已破矣
_甕_算_畵_餠,옹산화병,甕算畵餠
_甘_呑_苦_吐,감탄고토,甘呑苦吐
_甘_言_利_說,감언이설,甘言利說
_生_保_業_界,생보업계,生保業界
_生_化_學_的,생화학적,生化學的
_生_化_學_科,생화학과,生化學科
_生_呑_活_剝,생탄활박,生呑活剝
_生_埋_葬_當,생매장당,生埋葬當
_生_存_權_的,생존권적,生存權的
_生_巫_殺_人,생무살인,生巫殺人
_生_年_月_日,생년월일,生年月日
_生_態_主_義,생태주의,生態主義
_生_態_學_的,생태학적,生態學的
_生_態_學_者,생태학자,生態學者
_生_態_系_的,생태계적,生態系的
_生_榮_死_哀,생영사애,生榮死哀
_生_死_禍_福,생사화복,生死禍福
_生_死_肉_骨,생사육골,生死肉骨
_生_殺_與_奪,생살여탈,生殺與奪
_生_活_下_水,생활하수,生活下水
_生_活_信_條,생활신조,生活信條
_生_活_時_間,생활시간,生活時間
_生_活_樣_式,생활양식,生活樣式
_生_活_水_準,생활수준,生活水準
_生_活_環_境,생활환경,生活環境
_生_活_用_品,생활용품,生活用品
_生_活_用_水,생활용수,生活用水
_生_活_空_間,생활공간,生活空間
_生_活_部_長,생활부장,生活部長
_生_物_學_的,생물학적,生物學的
_生_物_學_科,생물학과,生物學科
_生_物_學_者,생물학자,生物學者
_生_理_學_的,생리학적,生理學的
_生_理_學_者,생리학자,生理學者
_生_産_力_的,생산력적,生産力的
_生_産_業_界,생산업계,生産業界
_生_産_業_者,생산업자,生産業者
_生_産_業_體,생산업체,生産業體
_生_産_者_層,생산자층,生産者層
_生_産_關_係,생산관계,生産關係
_生_老_病_死,생로병사,生老病死
_生_者_必_滅,생자필멸,生者必滅
_生_而_知_之,생이지지,生而知之
_生_鏡_光_紬,생경광주,生鏡光紬
_生_面_不_知,생면부지,生面不知
_産_婦_人_科,산부인과,産婦人科
_産_業_主_義,산업주의,産業主義
_産_業_課_長,산업과장,産業課長
_用_役_業_體,용역업체,用役業體
_用_志_不_分,용지불분,用志不分
_用_意_周_到,용의주도,用意周到
_用_行_舍_藏,용행사장,用行舍藏
_用_錐_指_地,용추지지,用錐指地
_用_錢_如_水,용전여수,用錢如水
_田_園_住_宅,전원주택,田園住宅
_田_園_都_市,전원도시,田園都市
_田_民_辨_整,전민변정,田民辨整
_田_父_之_功,전부지공,田父之功
_由_來_之_風,유래지풍,由來之風
_由_我_之_歎,유아지탄,由我之歎
_甲_午_改_革,갑오개혁,甲午改革
_甲_午_更_張,갑오경장,甲午更張
_甲_板_部_員,갑판부원,甲板部員
_甲_男_乙_女,갑남을녀,甲男乙女
_申_申_當_付,신신당부,申申當付
_男_中_一_色,남중일색,男中一色
_男_女_同_等,남녀동등,男女同等
_男_女_平_等,남녀평등,男女平等
_男_女_有_別,남녀유별,男女有別
_男_女_老_少,남녀노소,男女老少
_男_子_關_係,남자관계,男子關係
_男_尊_女_卑,남존여비,男尊女卑
_男_左_女_右,남좌여우,男左女右
_畏_影_惡_迹,외영오적,畏影惡迹
_畏_首_畏_尾,외수외미,畏首畏尾
_畜_産_業_者,축산업자,畜産業者
_異_口_同_聲,이구동성,異口同聲
_異_國_情_趣,이국정취,異國情趣
_異_國_趣_味,이국취미,異國趣味
_異_域_萬_里,이역만리,異域萬里
_異_腹_兄_弟,이복형제,異腹兄弟
_異_腹_同_生,이복동생,異腹同生
_異_路_同_歸,이로동귀,異路同歸
_當_世_之_風,당세지풍,當世之風
_當_然_之_事,당연지사,當然之事
_當_爲_論_的,당위론적,當爲論的
_畿_湖_學_派,기호학파,畿湖學派
_疊_疊_山_中,첩첩산중,疊疊山中
_疑_心_暗_鬼,의심암귀,疑心暗鬼
_疾_風_怒_濤,질풍노도,疾風怒濤
_病_入_膏_황,병입고황,病入膏황
_病_理_學_的,병리학적,病理學的
_病_理_學_科,병리학과,病理學科
_癌_細_胞_的,암세포적,癌細胞的
_登_場_人_物,등장인물,登場人物
_登_樓_去_梯,등루거제,登樓去梯
_登_高_自_卑,등고자비,登高自卑
_白_日_靑_天,백일청천,白日靑天
_白_沙_靑_松,백사청송,白沙靑松
_白_無_紋_綾,백무문능,白無紋綾
_白_熱_電_燈,백열전등,白熱電燈
_白_玉_微_瑕,백옥미하,白玉微瑕
_白_紙_狀_態,백지상태,白紙狀態
_白_葡_萄_酒,백포도주,白葡萄酒
_白_虹_貫_日,백홍관일,白虹貫日
_白_衣_從_軍,백의종군,白衣從軍
_白_衣_民_族,백의민족,白衣民族
_白_面_書_生,백면서생,白面書生
_白_頭_如_新,백두여신,白頭如新
_白_首_空_歸,백수공귀,白首空歸
_白_駒_過_隙,백구과극,白駒過隙
_白_骨_難_忘,백골난망,白骨難忘
_百_七_十_二,백칠십이,百七十二
_百_七_十_五,백칠십오,百七十五
_百_世_之_師,백세지사,百世之師
_百_二_十_八,백이십팔,百二十八
_百_五_十_五,백오십오,百五十五
_百_五_十_萬,백오십만,百五十萬
_百_八_十_三,백팔십삼,百八十三
_百_八_十_度,백팔십도,百八十度
_百_八_煩_惱,백팔번뇌,百八煩惱
_百_六_十_七,백육십칠,百六十七
_百_害_無_益,백해무익,百害無益
_百_家_爭_鳴,백가쟁명,百家爭鳴
_百_尺_竿_頭,백척간두,百尺竿頭
_百_川_學_海,백천학해,百川學海
_百_年_佳_約,백년가약,百年佳約
_百_年_偕_老,백년해로,百年偕老
_百_年_大_計,백년대계,百年大計
_百_年_河_淸,백년하청,百年河淸
_百_戰_百_勝,백전백승,百戰百勝
_百_戰_老_將,백전노장,百戰老將
_百_折_不_屈,백절불굴,百折不屈
_百_發_百_中,백발백중,百發百中
_百_科_事_典,백과사전,百科事典
_百_花_爛_漫,백화난만,百花爛漫
_百_花_齊_放,백화제방,百花齊放
_百_萬_長_者,백만장자,百萬長者
_百_貨_店_式,백화점식,百貨店式
_百_里_負_米,백리부미,百里負米
_百_鬼_夜_行,백귀야행,百鬼夜行
_益_者_三_友,익자삼우,益者三友
_益_者_三_樂,익자삼요,益者三樂
_盛_衰_興_廢,성쇠흥폐,盛衰興廢
_盜_憎_主_人,도증주인,盜憎主人
_監_査_班_員,감사반원,監査班員
_盤_根_錯_節,반근착절,盤根錯節
_盤_溪_曲_徑,반계곡경,盤溪曲徑
_盤_石_之_固,반석지고,盤石之固
_盧_生_之_夢,노생지몽,盧生之夢
_目_下_十_行,목하십행,目下十行
_目_不_忍_見,목불인견,目不忍見
_目_不_窺_園,목불규원,目不窺園
_目_不_見_睫,목불견첩,目不見睫
_目_不_識_丁,목불식정,目不識丁
_目_前_之_計,목전지계,目前之計
_目_的_意_識,목적의식,目的意識
_目_的_法_化,목적법화,目的法化
_目_的_論_的,목적론적,目的論的
_盲_人_摸_象,맹인모상,盲人摸象
_盲_人_眼_疾,맹인안질,盲人眼疾
_盲_玩_丹_靑,맹완단청,盲玩丹靑
_盲_者_正_門,맹자정문,盲者正門
_盲_龜_浮_木,맹귀부목,盲龜浮木
_直_三_角_形,직삼각형,直三角形
_直_四_角_形,직사각형,直四角形
_直_射_光_線,직사광선,直射光線
_直_線_距_離,직선거리,直線距離
_相_乘_效_果,상승효과,相乘效果
_相_互_主_義,상호주의,相互主義
_相_對_主_義,상대주의,相對主義
_相_扶_相_助,상부상조,相扶相助
_相_關_關_係,상관관계,相關關係
_看_護_大_學,간호대학,看護大學
_看_護_學_科,간호학과,看護學科
_看_護_部_長,간호부장,看護部長
_看_雲_步_月,간운보월,看雲步月
_眞_景_山_水,진경산수,眞景山水
_眼_下_無_人,안하무인,眼下無人
_眼_明_手_快,안명수쾌,眼明手快
_眼_目_所_視,안목소시,眼目所視
_眼_透_紙_背,안투지배,眼透紙背
_眼_高_手_卑,안고수비,眼高手卑
_瞬_間_瞬_間,순간순간,瞬間瞬間
_知_名_之_士,지명지사,知名之士
_知_小_謀_大,지소모대,知小謀大
_知_己_之_友,지기지우,知己之友
_知_斧_斫_足,지부작족,知斧斫足
_知_致_主_義,지치주의,知致主義
_知_識_人_然,지식인연,知識人然
_知_識_人_的,지식인적,知識人的
_知_識_水_準,지식수준,知識水準
_知_難_行_易,지난행이,知難行易
_短_音_階_圈,단음계권,短音階圈
_矮_子_看_戱,왜자간희,矮子看戱
_矯_導_所_長,교도소장,矯導所長
_矯_角_殺_牛,교각살우,矯角殺牛
_石_心_鐵_腸,석심철장,石心鐵腸
_石_破_天_驚,석파천경,石破天驚
_破_廉_恥_犯,파렴치범,破廉恥犯
_破_竹_之_勢,파죽지세,破竹之勢
_硏_究_史_的,연구사적,硏究史的
_硏_究_室_長,연구실장,硏究室長
_硏_究_所_長,연구소장,硏究所長
_硏_究_部_長,연구부장,硏究部長
_碎_骨_粉_身,쇄골분신,碎骨粉身
_碧_眼_紫_髥,벽안자염,碧眼紫髥
_碩_果_不_食,석과불식,碩果不食
_確_固_不_動,확고부동,確固不動
_磨_斧_爲_針,마부위침,磨斧爲針
_示_威_運_動,시위운동,示威運動
_示_範_學_校,시범학교,示範學校
_社_會_主_義,사회주의,社會主義
_社_會_事_業,사회사업,社會事業
_社_會_史_家,사회사가,社會史家
_社_會_史_的,사회사적,社會史的
_社_會_團_體,사회단체,社會團體
_社_會_奉_仕,사회봉사,社會奉仕
_社_會_學_徒,사회학도,社會學徒
_社_會_學_的,사회학적,社會學的
_社_會_學_科,사회학과,社會學科
_社_會_學_者,사회학자,社會學者
_社_會_思_想,사회사상,社會思想
_社_會_意_識,사회의식,社會意識
_社_會_生_活,사회생활,社會生活
_社_會_論_者,사회론자,社會論者
_社_會_部_長,사회부장,社會部長
_社_會_關_係,사회관계,社會關係
_社_稷_之_臣,사직지신,社稷之臣
_社_稷_爲_墟,사직위허,社稷爲墟
_社_鼠_城_狐,사서성호,社鼠城狐
_神_出_鬼_沒,신출귀몰,神出鬼沒
_神_秘_主_義,신비주의,神秘主義
_神_經_外_科,신경외과,神經外科
_神_經_質_的,신경질적,神經質的
_神_話_學_者,신화학자,神話學者
_神_話_時_代,신화시대,神話時代
_祠_堂_養_子,사당양자,祠堂養子
_祭_典_競_技,제전경기,祭典競技
_祭_司_長_的,제사장적,祭司長的
_祭_政_一_致,제정일치,祭政一致
_祭_需_用_品,제수용품,祭需用品
_禁_府_都_事,금부도사,禁府都事
_禁_治_産_者,금치산자,禁治産者
_福_不_重_至,복부중지,福不重至
_福_祉_學_科,복지학과,福祉學科
_福_過_災_生,복과재생,福過災生
_福_音_主_義,복음주의,福音主義
_禮_俗_相_交,예속상교,禮俗相交
_禮_儀_凡_節,예의범절,禮儀凡節
_禮_煩_則_亂,예번즉난,禮煩則亂
_禮_義_廉_恥,예의염치,禮義廉恥
_禮_門_義_路,예문의로,禮門義路
_秀_而_不_實,수이부실,秀而不實
_私_債_業_者,사채업자,私債業者
_私_利_私_慾,사리사욕,私利私慾
_私_敎_育_費,사교육비,私敎育費
_私_立_大_學,사립대학,私立大學
_私_立_學_校,사립학교,私立學校
_秉_燭_夜_遊,병촉야유,秉燭夜遊
_秋_風_落_葉,추풍낙엽,秋風落葉
_科_學_主_義,과학주의,科學主義
_科_學_史_家,과학사가,科學史家
_科_目_主_義,과목주의,科目主義
_秘_密_主_義,비밀주의,秘密主義
_秘_密_文_書,비밀문서,秘密文書
_秘_密_警_察,비밀경찰,秘密警察
_秘_書_官_室,비서관실,秘書官室
_秘_書_室_長,비서실장,秘書室長
_移_天_易_日,이천역일,移天易日
_移_木_之_信,이목지신,移木之信
_稅_制_室_長,세제실장,稅制室長
_稚_氣_滿_滿,치기만만,稚氣滿滿
_種_槪_念_的,종개념적,種槪念的
_穀_腹_絲_身,곡복사신,穀腹絲身
_積_善_餘_慶,적선여경,積善餘慶
_積_土_成_山,적토성산,積土成山
_積_如_邱_山,적여구산,積如邱山
_積_小_成_大,적소성대,積小成大
_積_年_累_月,적년누월,積年累月
_積_怨_深_怒,적원심노,積怨深怒
_積_惡_餘_殃,적악여앙,積惡餘殃
_積_水_成_淵,적수성연,積水成淵
_積_羽_沈_舟,적우침주,積羽沈舟
_積_薪_之_嘆,적신지탄,積薪之嘆
_空_中_分_解,공중분해,空中分解
_空_中_樓_閣,공중누각,空中樓閣
_空_前_絶_後,공전절후,空前絶後
_空_山_明_月,공산명월,空山明月
_空_理_空_論,공리공론,空理空論
_空_襲_警_報,공습경보,空襲警報
_突_然_變_異,돌연변이,突然變異
_窈_窕_淑_女,요조숙녀,窈窕淑女
_窮_餘_之_策,궁여지책,窮餘之策
_立_候_補_者,입후보자,立候補者
_立_春_大_吉,입춘대길,立春大吉
_立_身_出_世,입신출세,立身出世
_立_身_揚_名,입신양명,立身揚名
_立_身_揚_名,입신양명,立身揚名
_立_錐_之_地,입추지지,立錐之地
_章_句_之_學,장구지학,章句之學
_竭_忠_報_國,갈충보국,竭忠報國
_競_爭_意_識,경쟁의식,競爭意識
_競_選_論_者,경선론자,競選論者
_竹_帛_之_功,죽백지공,竹帛之功
_竹_細_工_品,죽세공품,竹細工品
_竹_頭_木_屑,죽두목설,竹頭木屑
_竹_馬_故_友,죽마고우,竹馬故友
_竿_頭_之_勢,간두지세,竿頭之勢
_笑_啼_兩_難,소제양난,笑啼兩難
_笑_裏_藏_刀,소리장도,笑裏藏刀
_第_一_主_義,제일주의,第一主義
_第_三_國_産,제삼국산,第三國産
_筆_記_試_驗,필기시험,筆記試驗
_筆_記_道_具,필기도구,筆記道具
_筋_持_久_力,근지구력,筋持久力
_筋_萎_縮_症,근위축증,筋萎縮症
_管_理_係_長,관리계장,管理係長
_管_理_學_科,관리학과,管理學科
_管_理_室_長,관리실장,管理室長
_管_理_局_長,관리국장,管理局長
_管_理_科_長,관리과장,管理科長
_管_理_部_長,관리부장,管理部長
_管_絃_樂_科,관현악과,管絃樂科
_管_鮑_之_交,관포지교,管鮑之交
_簞_食_瓢_飮,단사표음,簞食瓢飮
_簡_單_明_瞭,간단명료,簡單明瞭
_簡_易_食_堂,간이식당,簡易食堂
_簡_體_字_化,간체자화,簡體字化
_籠_鳥_戀_雲,농조연운,籠鳥戀雲
_米_珠_薪_桂,미주신계,米珠薪桂
_粉_白_黛_綠,분백대록,粉白黛綠
_粉_靑_沙_器,분청사기,粉靑沙器
_粉_骨_碎_身,분골쇄신,粉骨碎身
_粒_粒_辛_苦,입립신고,粒粒辛苦
_粟_紅_貫_朽,속홍관후,粟紅貫朽
_精_油_業_體,정유업체,精油業體
_精_神_世_界,정신세계,精神世界
_精_神_勞_動,정신노동,精神勞動
_精_神_史_的,정신사적,精神史的
_精_神_文_化,정신문화,精神文化
_精_神_生_活,정신생활,精神生活
_精_神_病_者,정신병자,精神病者
_精_神_科_學,정신과학,精神科學
_精_神_科_的,정신과적,精神科的
_精_神_科_長,정신과장,精神科長
_精_神_薄_弱,정신박약,精神薄弱
_糖_尿_病_性,당뇨병성,糖尿病性
_糖_質_代_謝,당질대사,糖質代謝
_糟_糠_之_妻,조강지처,糟糠之妻
_紀_念_品_店,기념품점,紀念品店
_純_一_主_義,순일주의,純一主義
_純_利_益_率,순이익률,純利益率
_純_潔_無_垢,순결무구,純潔無垢
_純_粹_主_義,순수주의,純粹主義
_紗_帽_冠_帶,사모관대,紗帽冠帶
_累_卵_之_勢,누란지세,累卵之勢
_細_中_麻_布,세중마포,細中麻布
_細_形_銅_劍,세형동검,細形銅劍
_終_始_如_一,종시여일,終始如一
_終_無_消_息,종무소식,終無消息
_組_合_主_義,조합주의,組合主義
_結_婚_式_場,결혼식장,結婚式場
_結_果_論_的,결과론적,結果論的
_結_義_兄_弟,결의형제,結義兄弟
_結_者_解_之,결자해지,結者解之
_結_草_報_恩,결초보은,結草報恩
_絡_繹_不_絶,낙역부절,絡繹不絶
_統_佛_敎_的,통불교적,統佛敎的
_統_廢_合_說,통폐합설,統廢合說
_統_治_權_者,통치권자,統治權者
_統_計_學_科,통계학과,統計學科
_絶_世_佳_人,절세가인,絶世佳人
_絶_世_美_人,절세미인,絶世美人
_絶_倫_離_倫,절륜이륜,絶倫離倫
_絶_對_多_數,절대다수,絶對多數
_絶_對_精_神,절대정신,絶對精神
_絶_海_孤_島,절해고도,絶海孤島
_絶_處_逢_生,절처봉생,絶處逢生
_絶_長_補_短,절장보단,絶長補短
_經_世_濟_民,경세제민,經世濟民
_經_世_致_用,경세치용,經世致用
_經_國_之_才,경국지재,經國之才
_經_天_緯_地,경천위지,經天緯地
_經_濟_主_義,경제주의,經濟主義
_經_濟_史_學,경제사학,經濟史學
_經_濟_史_家,경제사가,經濟史家
_經_濟_史_的,경제사적,經濟史的
_經_濟_學_界,경제학계,經濟學界
_經_濟_學_的,경제학적,經濟學的
_經_濟_學_科,경제학과,經濟學科
_經_濟_學_者,경제학자,經濟學者
_經_濟_學_部,경제학부,經濟學部
_經_濟_局_長,경제국장,經濟局長
_經_濟_特_區,경제특구,經濟特區
_經_濟_生_活,경제생활,經濟生活
_經_濟_觀_念,경제관념,經濟觀念
_經_營_學_科,경영학과,經營學科
_綠_楊_芳_草,녹양방초,綠楊芳草
_綠_衣_紅_裳,녹의홍상,綠衣紅裳
_綱_常_之_變,강상지변,綱常之變
_綽_綽_有_餘,작작유여,綽綽有餘
_緊_急_會_議,긴급회의,緊急會議
_緣_木_求_魚,연목구어,緣木求魚
_編_修_官_室,편수관실,編修官室
_編_修_職_員,편수직원,編修職員
_編_輯_局_長,편집국장,編輯局長
_編_輯_部_長,편집부장,編輯部長
_緩_行_列_車,완행열차,緩行列車
_緯_武_經_文,위무경문,緯武經文
_練_習_帳_紙,연습장지,練習帳紙
_縫_衣_淺_帶,봉의천대,縫衣淺帶
_縱_橫_無_盡,종횡무진,縱橫無盡
_總_務_局_長,총무국장,總務局長
_總_務_課_長,총무과장,總務課長
_總_務_部_長,총무부장,總務部長
_總_參_謀_長,총참모장,總參謀長
_總_司_令_塔,총사령탑,總司令塔
_總_同_門_會,총동문회,總同門會
_總_學_生_會,총학생회,總學生會
_總_支_配_人,총지배인,總支配人
_總_生_産_量,총생산량,總生産量
_總_生_産_額,총생산액,總生産額
_總_秘_書_職,총비서직,總秘書職
_總_調_整_官,총조정관,總調整官
_總_責_任_者,총책임자,總責任者
_總_資_本_金,총자본금,總資本金
_總_賣_出_額,총매출액,總賣出額
_總_輸_入_額,총수입액,總輸入額
_總_辭_退_說,총사퇴설,總辭退說
_總_領_事_館,총영사관,總領事館
_總_點_主_義,총점주의,總點主義
_續_短_斷_長,속단단장,續短斷長
_纖_纖_玉_手,섬섬옥수,纖纖玉手
_缺_如_論_者,결여론자,缺如論者
_缺_食_兒_童,결식아동,缺食兒童
_罔_極_之_恩,망극지은,罔極之恩
_罪_不_容_誅,죄불용주,罪不容誅
_罪_疑_惟_輕,죄의유경,罪疑惟輕
_罪_重_罰_輕,죄중벌경,罪重罰輕
_羊_質_虎_皮,양질호피,羊質虎皮
_羊_頭_狗_肉,양두구육,羊頭狗肉
_美_人_薄_命,미인박명,美人薄命
_美_式_蹴_球,미식축구,美式蹴球
_美_目_盼_兮,미목반혜,美目盼兮
_美_術_史_學,미술사학,美術史學
_美_術_史_家,미술사가,美術史家
_美_術_史_的,미술사적,美術史的
_美_術_學_科,미술학과,美術學科
_美_術_家_論,미술가론,美術家論
_美_辭_麗_句,미사여구,美辭麗句
_美_風_良_俗,미풍양속,美風良俗
_羞_惡_之_心,수오지심,羞惡之心
_羞_花_閉_月,수화폐월,羞花閉月
_群_衆_大_會,군중대회,群衆大會
_群_衆_集_會,군중집회,群衆集會
_群_雄_割_據,군웅할거,群雄割據
_群_鷄_一_鶴,군계일학,群鷄一鶴
_羽_化_登_仙,우화등선,羽化登仙
